Experiment,Gametocytemia (% volume of infectious parasite in the blood meal),Mean oocyst intensity at 25C ,Temperature ,DPI,Cup ID,Spz prevalence,Dissected,Infected,temp,DTR,gametocytemia
1,0.024%,5.0,17C,39.5,1,0.000,10,0,17,0,0.00024137931034482800
1,0.024%,5.0,17C,39.5,2,0.000,10,0,17,0,0.00024137931034482800
1,0.024%,5.0,17C,42.5,1,0.000,10,0,17,0,0.00024137931034482800
1,0.024%,5.0,17C,42.5,2,0.000,10,0,17,0,0.00024137931034482800
1,0.024%,5.0,17C,46.5,1,0.000,17,0,17,0,0.00024137931034482800
1,0.024%,5.0,17C,50.0,1,0.000,16,0,17,0,0.00024137931034482800
1,0.024%,5.0,19C,22.5,3,0.000,10,0,19,0,0.00024137931034482800
1,0.024%,5.0,19C,22.5,4,0.000,12,0,19,0,0.00024137931034482800
1,0.024%,5.0,19C,26.5,3,0.000,10,0,19,0,0.00024137931034482800
1,0.024%,5.0,19C,26.5,4,0.000,10,0,19,0,0.00024137931034482800
1,0.024%,5.0,19C,29.4,3,0.000,10,0,19,0,0.00024137931034482800
1,0.024%,5.0,19C,29.4,4,0.100,10,1,19,0,0.00024137931034482800
1,0.024%,5.0,19C,32.5,3,0.000,10,0,19,0,0.00024137931034482800
1,0.024%,5.0,19C,32.5,4,0.000,10,0,19,0,0.00024137931034482800
1,0.024%,5.0,19C,36.5,3,0.100,10,1,19,0,0.00024137931034482800
1,0.024%,5.0,19C,36.5,4,0.000,11,0,19,0,0.00024137931034482800
1,0.024%,5.0,19C,40.5,3,0.000,10,0,19,0,0.00024137931034482800
1,0.024%,5.0,19C,40.5,4,0.100,10,1,19,0,0.00024137931034482800
1,0.024%,5.0,21C,16.5,5,0.000,10,0,21,0,0.00024137931034482800
1,0.024%,5.0,21C,16.5,6,0.000,10,0,21,0,0.00024137931034482800
1,0.024%,5.0,21C,18.5,5,0.000,10,0,21,0,0.00024137931034482800
1,0.024%,5.0,21C,18.5,6,0.000,10,0,21,0,0.00024137931034482800
1,0.024%,5.0,21C,20.5,5,0.000,10,0,21,0,0.00024137931034482800
1,0.024%,5.0,21C,20.5,6,0.167,12,2,21,0,0.00024137931034482800
1,0.024%,5.0,21C,22.5,5,0.000,10,0,21,0,0.00024137931034482800
1,0.024%,5.0,21C,22.5,6,0.200,10,2,21,0,0.00024137931034482800
1,0.024%,5.0,21C,24.5,5,0.200,10,2,21,0,0.00024137931034482800
1,0.024%,5.0,21C,24.5,6,0.000,10,0,21,0,0.00024137931034482800
1,0.024%,5.0,21C,26.5,5,0.300,10,3,21,0,0.00024137931034482800
