id,expt,temp,cup,day,status
1,1,21,1,1,1
2,1,21,1,1,1
3,1,21,1,1,1
4,1,21,1,2,1
5,1,21,1,2,1
6,1,21,1,3,1
7,1,21,1,3,1
8,1,21,1,3,1
9,1,21,1,3,1
10,1,21,1,3,1
11,1,21,1,5,1
12,1,21,1,5,1
13,1,21,1,6,1
14,1,21,1,6,1
15,1,21,1,7,1
16,1,21,1,8,1
17,1,21,1,8,1
18,1,21,1,9,0
19,1,21,1,9,0
20,1,21,1,9,0
21,1,21,1,9,0
22,1,21,1,9,0
23,1,21,1,9,0
24,1,21,1,9,0
25,1,21,1,9,0
26,1,21,1,9,1
27,1,21,1,9,1
28,1,21,1,10,0
29,1,21,1,10,0
30,1,21,1,10,0
31,1,21,1,10,0
32,1,21,1,10,0
33,1,21,1,10,0
34,1,21,1,10,0
35,1,21,1,10,0
36,1,21,1,10,1
37,1,21,1,10,1
38,1,21,1,11,0
39,1,21,1,11,0
40,1,21,1,11,0
41,1,21,1,11,0
42,1,21,1,11,0
43,1,21,1,11,0
44,1,21,1,11,0
45,1,21,1,11,0
46,1,21,1,11,1
47,1,21,1,11,1
48,1,21,1,12,0
49,1,21,1,12,0
50,1,21,1,12,0
51,1,21,1,12,0
52,1,21,1,12,0
53,1,21,1,12,0
54,1,21,1,12,0
55,1,21,1,12,0
56,1,21,1,12,1
57,1,21,1,12,1
58,1,21,1,12,1
59,1,21,1,12,1
60,1,21,1,13,0
61,1,21,1,13,0
62,1,21,1,13,0
63,1,21,1,13,0
64,1,21,1,13,0
65,1,21,1,13,0
66,1,21,1,13,0
67,1,21,1,13,1
68,1,21,1,13,1
69,1,21,1,13,1
70,1,21,1,13,1
71,1,21,1,14,0
72,1,21,1,14,0
73,1,21,1,14,0
74,1,21,1,14,0
75,1,21,1,14,0
76,1,21,1,14,0
77,1,21,1,14,0
78,1,21,1,14,0
79,1,21,1,14,0
80,1,21,1,14,1
81,1,21,1,14,1
82,1,21,1,15,0
83,1,21,1,15,0
84,1,21,1,15,0
85,1,21,1,15,0
86,1,21,1,15,0
87,1,21,1,15,0
88,1,21,1,15,0
89,1,21,1,15,0
90,1,21,1,15,1
91,1,21,1,15,1
92,1,21,1,16,0
93,1,21,1,16,0
94,1,21,1,16,0
95,1,21,1,16,0
96,1,21,1,16,0
97,1,21,1,16,0
98,1,21,1,16,0
99,1,21,1,16,1
100,1,21,1,16,1
101,1,21,1,17,0
102,1,21,1,17,0
103,1,21,1,17,0
104,1,21,1,17,0
105,1,21,1,17,0
106,1,21,1,17,0
107,1,21,1,17,0
108,1,21,1,17,0
109,1,21,1,17,1
110,1,21,1,17,1
111,1,21,1,18,1
112,1,21,1,18,1
113,1,21,1,18,1
114,1,21,1,18,0
115,1,21,1,19,0
116,1,21,1,19,0
117,1,21,1,19,0
118,1,21,1,19,0
119,1,21,1,19,0
120,1,21,1,19,0
121,1,21,1,19,0
122,1,21,1,19,1
123,1,21,1,20,1
124,1,21,1,21,0
125,1,21,1,21,0
126,1,21,1,21,0
127,1,21,1,21,0
128,1,21,1,21,0
129,1,21,1,21,0
130,1,21,1,21,0
131,1,21,1,21,0
132,1,21,1,21,1
133,1,21,1,22,1
134,1,21,1,22,1
135,1,21,1,23,0
136,1,21,1,23,0
137,1,21,1,23,0
138,1,21,1,23,0
139,1,21,1,23,0
140,1,21,1,23,0
141,1,21,1,23,0
142,1,21,1,23,0
143,1,21,1,24,1
144,1,21,1,25,0
145,1,21,1,25,0
146,1,21,1,25,0
147,1,21,1,25,0
148,1,21,1,25,0
149,1,21,1,25,0
150,1,21,1,25,0
151,1,21,1,25,0
152,1,21,1,25,1
153,1,21,1,25,1
154,1,21,2,1,1
155,1,21,2,1,1
156,1,21,2,1,1
157,1,21,2,2,1
158,1,21,2,2,1
159,1,21,2,2,1
160,1,21,2,2,1
161,1,21,2,2,1
162,1,21,2,2,1
163,1,21,2,3,1
164,1,21,2,3,1
165,1,21,2,4,1
166,1,21,2,4,1
167,1,21,2,4,1
168,1,21,2,4,1
169,1,21,2,5,1
170,1,21,2,5,1
171,1,21,2,7,1
172,1,21,2,8,1
173,1,21,2,8,1
174,1,21,2,8,1
175,1,21,2,9,0
176,1,21,2,9,0
177,1,21,2,9,0
178,1,21,2,9,0
179,1,21,2,9,0
180,1,21,2,9,0
181,1,21,2,9,0
182,1,21,2,9,0
183,1,21,2,9,1
184,1,21,2,10,0
185,1,21,2,10,0
186,1,21,2,10,0
187,1,21,2,10,0
188,1,21,2,10,0
189,1,21,2,10,0
190,1,21,2,10,0
191,1,21,2,10,0
192,1,21,2,10,1
193,1,21,2,11,0
194,1,21,2,11,0
195,1,21,2,11,0
196,1,21,2,11,0
197,1,21,2,11,0
198,1,21,2,11,0
199,1,21,2,11,0
200,1,21,2,11,0
201,1,21,2,11,1
202,1,21,2,11,1
203,1,21,2,12,0
204,1,21,2,12,0
205,1,21,2,12,0
206,1,21,2,12,0
207,1,21,2,12,0
208,1,21,2,12,0
209,1,21,2,12,0
210,1,21,2,12,0
211,1,21,2,12,1
212,1,21,2,12,1
213,1,21,2,12,1
214,1,21,2,13,0
215,1,21,2,13,0
216,1,21,2,13,0
217,1,21,2,13,0
218,1,21,2,13,0
219,1,21,2,13,0
220,1,21,2,13,0
221,1,21,2,13,0
222,1,21,2,13,1
223,1,21,2,13,1
224,1,21,2,14,0
225,1,21,2,14,0
226,1,21,2,14,0
227,1,21,2,14,0
228,1,21,2,14,0
229,1,21,2,14,0
230,1,21,2,14,0
231,1,21,2,14,0
232,1,21,2,14,1
233,1,21,2,15,0
234,1,21,2,15,0
235,1,21,2,15,0
236,1,21,2,15,0
237,1,21,2,15,0
238,1,21,2,15,0
239,1,21,2,15,0
240,1,21,2,15,0
241,1,21,2,15,1
242,1,21,2,15,1
243,1,21,2,16,0
244,1,21,2,16,0
245,1,21,2,16,0
246,1,21,2,16,0
247,1,21,2,16,0
248,1,21,2,16,0
249,1,21,2,16,0
250,1,21,2,16,1
251,1,21,2,16,1
252,1,21,2,16,1
253,1,21,2,17,0
254,1,21,2,17,0
255,1,21,2,17,0
256,1,21,2,17,0
257,1,21,2,17,0
258,1,21,2,17,0
259,1,21,2,17,0
260,1,21,2,17,0
261,1,21,2,17,1
262,1,21,2,18,1
263,1,21,2,18,1
264,1,21,2,18,1
265,1,21,2,19,0
266,1,21,2,19,0
267,1,21,2,19,0
268,1,21,2,19,0
269,1,21,2,19,0
270,1,21,2,19,0
271,1,21,2,19,0
272,1,21,2,19,0
273,1,21,2,19,1
274,1,21,2,19,1
275,1,21,2,21,0
276,1,21,2,21,0
277,1,21,2,21,0
278,1,21,2,21,0
279,1,21,2,21,0
280,1,21,2,21,0
281,1,21,2,21,0
282,1,21,2,21,0
283,1,21,2,22,1
284,1,21,2,23,0
285,1,21,2,23,0
286,1,21,2,23,0
287,1,21,2,23,0
288,1,21,2,23,0
289,1,21,2,23,0
290,1,21,2,23,0
291,1,21,2,23,0
292,1,21,2,23,1
293,1,21,2,23,1
294,1,21,2,23,1
295,1,21,2,24,1
296,1,21,2,25,0
297,1,21,2,25,0
298,1,21,2,25,0
299,1,21,2,25,0
300,1,21,2,25,0
301,1,21,2,25,0
302,1,21,2,25,0
303,1,21,2,25,0
304,1,21,2,25,1
305,1,21,2,25,1
306,1,21,3,1,1
307,1,21,3,1,1
308,1,21,3,1,1
309,1,21,3,1,1
310,1,21,3,1,1
311,1,21,3,2,1
312,1,21,3,2,1
313,1,21,3,2,1
314,1,21,3,2,1
315,1,21,3,3,1
316,1,21,3,3,1
317,1,21,3,3,1
318,1,21,3,3,1
319,1,21,3,4,1
320,1,21,3,4,1
321,1,21,3,4,1
322,1,21,3,4,1
323,1,21,3,4,1
324,1,21,3,5,1
325,1,21,3,5,1
326,1,21,3,5,1
327,1,21,3,5,1
328,1,21,3,6,1
329,1,21,3,6,1
330,1,21,3,7,1
331,1,21,3,7,1
332,1,21,3,7,1
333,1,21,3,8,1
334,1,21,3,8,1
335,1,21,3,8,1
336,1,21,3,8,1
337,1,21,3,8,1
338,1,21,3,9,0
339,1,21,3,9,0
340,1,21,3,9,0
341,1,21,3,9,0
342,1,21,3,9,0
343,1,21,3,9,0
344,1,21,3,9,0
345,1,21,3,9,0
346,1,21,3,9,1
347,1,21,3,10,0
348,1,21,3,10,0
349,1,21,3,10,0
350,1,21,3,10,0
351,1,21,3,10,0
352,1,21,3,10,0
353,1,21,3,10,0
354,1,21,3,10,0
355,1,21,3,10,1
356,1,21,3,11,0
